BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
f06404c1-7c5f-42fc-b965-48e4e3eec74c,642.25,1653.94,153.65,5963.49,1402.2217,839.2398,-562.9819
f860637e-9e0c-4f78-9ee0-f65d7b8699ab,509.31,276.63,,,130.99,469.7276,338.7376
81c96a75-bd72-45b3-824b-f8be784900f2,1034.95,7612.58,1396.1,4439.43,2413.8433,1185.766,-1228.0773
e1c50556-6587-4b75-84b3-875103f222c2,2150.45,1844.74,1786.26,3559.28,1556.7883,1347.5496,-209.2387
3218892d-351b-40ec-a18e-1c95d12780e3,,0,,,0,513.9633,513.9633
3c6420bb-cea8-44ee-8c53-4317948c072b,1259.77,871.99,557.49,1722.27,735.2533,878.4003,143.147
6407ba98-f7da-4a3f-8d7c-50d56e8c5e8a,65475.23,52016.8,73444.32,187956.16,63148.7517,6660.6829,-56488.0688
1bdabf68-1092-4921-8351-0e46f7d80725,24005.09,6042.99,12229,36950.27,13204.5583,3123.3397,-10081.2186
6dd04bf1-692b-4644-a904-cd81b3b0dc46,5696.67,,1920,7300,2486.1117,697.421,-1788.6907
4a5ed988-c6b8-427d-a848-98c1b66a4745,11704.27,6609.2,8171.1,30145.68,9438.375,3048.1892,-6390.1858
8db1ecf8-b11c-423d-ad3f-1996414ca615,500,300,1100,900,466.6667,932.401,465.7343
d3f83358-f1e6-4efc-a7c4-fb89b5908c26,15735.58,5216.49,6.5,31646.83,8767.5667,8105.3493,-662.2174
f40b1215-9f76-472c-b6ef-48f59357a8ec,26750.53,22499,35370.86,99584.51,30700.8167,8464.7205,-22236.0962
8da8fb3f-54b4-4acd-b0e7-931b01551946,24561.4,11100,15200,20543.42,11900.8033,4457.2037,-7443.5996
cac48fda-72de-4b6b-99cf-ffae4d389652,49.6,,41.21,7428.7,1253.2517,1545.7279,292.4762
136032b3-d2f5-43ab-a9d2-33230517857f,2623.62,611.08,1108.63,2278.74,1103.6783,1169.207,65.5287
93c9c796-cf37-4267-9e9b-13b18c5c7227,3797.57,9486.67,8464.51,4009.75,4293.0833,2620.5136,-1672.5697
ee395db5-ed47-49e1-a3a0-cea59a3e0cbe,,,339.92,1503,307.1533,668.0529,360.8996
ff78c393-7dbc-4398-8902-026be463c984,7805.27,8770.23,7516.04,30610.09,9116.9383,3757.7058,-5359.2325
0622a9bb-4651-4c83-b34e-cecc0ef43a29,15356.81,28132.98,8964.23,27793.22,13374.54,9375.7948,-3998.7452
aa466e9b-0059-40df-8395-ea34867c6d96,,750,5100,3450.16,1550.0267,1113.9889,-436.0378
293fa834-7cb2-4633-b297-dda57d2eca78,320.38,105.53,100,244.3,128.3683,2156.7986,2028.4303
cac46fd1-075c-41b4-ace4-59727d27741f,4627.33,5934.99,5062.53,11382.33,4501.1967,1491.5718,-3009.6249
c1d90f58-ab4e-4a67-b4f8-810b6b813c13,22327.65,14368.03,57721.03,67027.39,26907.35,17888.7853,-9018.5647
ed0f4876-cc7f-498c-ac49-829b79d7b14e,1084.17,242.15,760.37,1518.49,600.8633,690.0133,89.15
d6bf5f4c-5cf0-4d99-ba0d-5e724a5f4fa3,3,69.98,,55.3,21.38,14782.8178,14761.4378
e08e2693-511d-4328-8ff6-bce029b7a103,1000,1000,1500,,583.3333,1086.811,503.4777
a0d643ff-47e4-483e-b1a4-253a43bcc5f4,10054.9,7741.79,7847.95,23136.2,8130.14,1599.991,-6530.149
6ca1f52b-6e12-4ffd-a26d-456c7a55f8e2,,500,,330,138.3333,624.779,486.4457
e17e440f-c527-4ec6-b413-1fd8a6f40b23,,800,,10325.33,1854.2217,704.2407,-1149.981
62df4727-1b12-45e5-8ae4-976d5268b463,13879.85,10221.7,13136.69,2681.44,6653.28,4626.1627,-2027.1173
30ec0af8-4550-4baf-9d3e-ea2261f8feee,5,,,,0.8333,816.611,815.7777
31e028ea-6e7e-4366-b125-7d28b990e38e,9061.31,10451.55,11562.76,39540.88,11769.4167,4171.3141,-7598.1026
2fb65160-8f2b-4fa2-b511-55f4a6bab689,,100000,,,16666.6667,20274.611,3607.9443
589064f3-c8a1-4dbe-9d39-dc511fa903d3,1053.33,2120.41,1422.61,1439.32,1005.945,739.6239,-266.3211
04e4364d-7566-4b0a-86ec-f5162c7749fd,785.75,138.08,,22.99,157.8033,1732.7214,1574.9181
70ef0ce5-c48c-4f79-94e8-20fd82bccd72,9705,1202.05,,694,1933.5083,1507.9938,-425.5145
06b22ec8-a40e-4259-9cd7-744e4dfe58ff,2474.2,554.1,,1600,771.3833,2537.6294,1766.2461
15078829-57d4-4dd9-8d58-d0adf4992b02,1304.6,2071.47,749.46,3460.25,1264.2967,1492.0248,227.7281
83299034-e52c-4a4e-b7a4-f1e05186baa0,18600,18600,20,74400,18603.3333,8876.0431,-9727.2902
e1028d6f-f30f-4768-8d41-9d640a5aa12a,13772.53,19814.02,28385.91,77888.78,23310.2067,11672.5315,-11637.6752
23d8640f-4a60-448b-bd0d-4af68c047745,1995,6457.78,7813.52,22631.38,6482.9467,1531.6298,-4951.3169
7497dc3e-bf83-4852-8c8a-97719e68c55e,,150,,,25,935.4861,910.4861
f3b23f6d-890b-4dde-9763-655c87d6c6a0,582,582,582,1004.59,458.4317,803.4407,345.009
6a961ac9-389d-462d-b3fa-8dec8608588c,8288.51,7062.4,8724.52,16587.82,6777.2083,3911.185,-2866.0233
ab15301e-4e4c-46bc-813d-505ad817aab8,1422.5,562.69,182.49,192.7,393.3967,709.8191,316.4224
219b81a0-a1ba-43bb-8f0a-68b4f308bc8d,895.36,445.71,1253.65,3574.06,1028.13,797.476,-230.654
ca6282c5-0e8d-4b12-9520-c39d10a33ac8,12725.11,17312.24,8844.5,41316.73,13366.43,3768.8493,-9597.5807
b53d6b06-d98d-4e68-a38a-0ec5d9bdeaf6,900,2500,200,4240,1306.6667,1117.5789,-189.0878
29480e8e-7c72-48f5-a0f9-58494275a26f,660.53,22,,700,230.4217,2030.1306,1799.7089
eee2034b-2720-467f-ad60-b452b08ab25a,8657.38,1539.55,2293.87,583.6,2179.0667,11206.2348,9027.1681
ab47ffe1-d4d9-40dd-8977-7c828b72940c,300,300,420.59,1300,386.765,1170.429,783.664
3983b1c0-14eb-4a69-82c2-a49e1e9794ce,25951.44,22185.43,8611.72,18995.71,12624.05,3101.4724,-9522.5776
d6f3c3eb-eb0c-4774-b280-373319286931,2964.35,1956.12,2114.13,156.6,1198.5333,2115.7966,917.2633
41f57b41-b73a-4e18-a77e-4ed3a22dbacd,,,,15125.22,2520.87,3078.6936,557.8236
2cdea572-d00e-4efb-8b31-837cfdc5b4c0,2275.59,87.7,245.62,3441.34,1008.375,2184.1501,1175.7751
b5eb9bf9-fd04-4d9b-a9fc-a12361f24c7a,1072.15,1854.22,156.7,2149.07,872.0233,902.0907,30.0674
53716317-286f-4997-976d-54794dd45fa3,400,400,400,1200,400,708.051,308.051
b161b154-6047-4760-a24b-a8b43b37b5b9,1327,1495.27,1643.2,1955.28,1070.125,915.5112,-154.6138
5375638b-6fdf-4eb4-bb02-2f83457b3b4a,1804.95,2253,,,676.325,2622.7853,1946.4603
547bb418-0558-4c81-9644-2bc3b7e132ab,6,44.3,,,8.3833,466.9527,458.5694
703946d7-6c44-4eb3-a050-1b05f730f77f,8800,10224.64,,39008.48,9672.1867,5962.9663,-3709.2204
32589e76-acc2-498a-a417-ebc80c41095f,82333.5,71180,51761.25,185257.5,65088.7083,27839.1724,-37249.5359
631b803c-3dde-4368-af0c-691c972c081c,,306,1403.5,2256.5,661,1195.2526,534.2526
