BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
3b26f82b-a358-4047-8d18-b04455712536,31568.1,22419.71,,12530,11086.3017,8220.7318,-2865.5699
3afa7299-9f96-4bec-8bcc-a41574721072,27923.17,24167.77,42925.15,21207.78,19370.645,11645.1373,-7725.5077
9cc3980b-7e0f-4ff1-b46d-202662519a89,8215,7265.15,6676.97,22132.96,7381.68,3142.4952,-4239.1848
d60e3b27-a1ea-4c69-a9ff-3a7ae8a08f50,4651.17,3369.35,,,1336.7533,2007.3664,670.6131
bc05b9be-3faf-479a-9512-1da8b2021dcb,13176.21,47140.52,54949.71,129209.84,40746.0467,29120.9311,-11625.1156
e4b7555b-7d1e-402e-88bf-e7f8bc827851,4414,13.75,1398.79,4165.6,1665.3567,3189.0861,1523.7294
cd2ea840-29a4-41ed-a7be-03c4b9e5dbd4,31070.35,20603.54,15366.62,37967.34,17501.3083,2153.9104,-15347.3979
388294a7-09d0-4bd1-8ece-c0dcaf5f1e05,1724.16,2225.36,651.05,13339.6,2990.0283,1301.6483,-1688.38
b105596d-8af9-40be-8b5b-9ba2087946f6,1109.2,300,1426.54,,472.6233,1026.2159,553.5926
8b3c850f-971c-46d4-83b1-189602e2a473,26.44,,,,4.4067,468.443,464.0363
231bf3d5-e522-4169-9881-e5389a47f553,10,,,,1.6667,1388.5813,1386.9146
dce425d1-4b91-4a5d-ba23-65f2489b40e3,,4.21,,,0.7017,797.7065,797.0048
3634913f-d9d3-4822-b776-9f82b58a8084,6492.41,5058.56,3689.99,7378.32,3769.88,4205.0586,435.1786
586871c4-1577-41df-aeda-d9d8f80067f1,18608.15,20250.39,18242.76,34293.99,15232.5483,17668.4526,2435.9043
94de0536-8562-4a3b-924f-2b8e61e5205b,86213.14,31886.32,35888.76,157447.01,51905.8717,18489.1711,-33416.7006
92d180c5-ba07-4725-8969-8a7f5d46057b,1657.53,2594.86,2005.09,5118.98,1896.0767,1421.9839,-474.0928
31503624-d3f9-45e8-8d31-a9188b4ad019,15672,11520,18520,58760,17412,6688.467,-10723.533
94026d90-7eae-487e-a8f0-85c24f39ef1c,,,,33.9,5.65,1861.9922,1856.3422
da6b852e-6c2c-4885-8219-71689e21a07c,1996.5,964.9,1170.1,2807.46,1156.4933,914.6112,-241.8821
d5a4b55c-c1a2-4ce0-9381-e8881f124dd5,3300,3300,7400,14459.98,4743.33,2395.8454,-2347.4846
018b2b70-af2d-4f75-be6b-851f1f9d3a1c,942.49,2525.52,1164.65,7239.82,1978.7467,3291.1501,1312.4034
3be671b1-549b-4706-831c-48c724ac105c,62596.97,25037.26,26780.35,43938.3,26392.1467,9229.8382,-17162.3085
94d498df-b57a-4fe5-b162-13ebd8f50ec7,35964.18,35738.06,60912.14,117697.87,41718.7083,9699.7805,-32018.9278
c6a047ed-0d70-4dc3-a667-9d203e0469e4,1235.19,3718.39,1127.3,4972.19,1842.1783,2088.7173,246.539
1b5733db-0f82-4e84-840e-4fcfe9e1e76a,29432.7,14220.5,11995.69,32542.33,14698.5367,9985.2324,-4713.3043
79c0e7cc-3fdd-429a-a5fe-9e570bb87310,72467.16,9468.04,5969,25,14654.8667,54853.9753,40199.1086
6776d82a-cb55-40e1-8c5a-b3f4bf991a97,2287.78,851.09,7012.96,11102.37,3542.3667,2275.343,-1267.0237
675d7f26-fe73-4c52-b46f-786050d920ad,2917,3335,6458,18170.07,5146.6783,625.6037,-4521.0746
245c9c3d-cd25-4a35-978e-5019ef9da497,53.64,153.39,,66.17,45.5333,721.3777,675.8444
78fcc9db-1aa1-4793-b730-8050416bc4cb,485.54,1839.3,150.33,26,416.8617,5115.1683,4698.3066
68513e75-922f-4d3d-b1f7-91e2a8fbae8d,2426.5,419,1606,4045.84,1416.2233,6035.2995,4619.0762
ad7038b7-8791-4623-8b32-68bbcca98680,358.13,1310.44,1176.58,2704.6,924.9583,1189.6766,264.7183
fbfa90e6-9ad3-49af-9fc2-d1d370730dac,4255.57,1890.57,3686.6,4006.43,2306.5283,2957.5252,650.9969
7a64b46b-0cf9-4e71-8622-fde42c939bdf,3031.08,2871.85,1024.28,16326.11,3875.5533,1762.6899,-2112.8634
e5b4c1e6-3a51-4c0c-8e8d-1d82ab951d9a,1174.23,860.31,1671.86,2092.44,966.4733,1426.3427,459.8694
1cd09331-ac72-4690-a755-f6123a139b3b,1755,1279.84,1080,4339.42,1409.0433,1003.5727,-405.4706
1b580202-68f0-40bd-98c8-545f01a554d2,8304.03,15762.65,10787,27967.45,10470.1883,7549.7178,-2920.4705
6559439e-f935-43a1-95e4-0e6865318417,4712.06,654.92,,44177.54,8257.42,1746.7411,-6510.6789
f4890e65-9312-4b75-8174-5da4169d9ad1,4086.64,3694.95,6309.34,13752.69,4640.6033,2503.3831,-2137.2202
a710e5db-f22b-4ab5-a89c-1287fc8acaec,14154.86,14695.51,12180.64,45805.3,14472.7183,4486.7154,-9986.0029
b44ef03d-99fe-4e30-a35f-6e4995b4b7a7,12826.05,6536.98,6569.73,8014.46,5657.87,5773.8684,115.9984
8c37c803-8dbf-407a-b54b-12c246941fee,,,,6156.65,1026.1083,783.0245,-243.0838
ecb6603a-786f-4545-9875-439af425c6ba,4419.04,3828,4953.98,16526.7,4954.62,1857.006,-3097.614
2af8768b-41ed-4440-8e42-bc1a333beb7b,25583.47,27007.12,28551.11,68972.53,25019.0383,8302.846,-16716.1923
df7b7729-9cae-4236-8759-191a3a42f393,1914.17,5391.21,4666.77,4903.48,2812.605,1154.3365,-1658.2685
1c55f300-8d2f-4f3e-a704-f0dd57f5dd35,1410,1319.63,251,21874.09,4142.4533,2869.3494,-1273.1039
8a5b7132-b1fe-4a89-aef6-b5ee6e98b6de,4311.68,4338.54,652.25,7035.52,2722.9983,2333.7322,-389.2661
b85e2842-b655-4366-9116-48a3997b215f,7990.13,4497.25,8773.7,12799.98,5676.8433,2669.315,-3007.5283
312f0c96-6b61-43c6-b17d-82f0714c94fc,1314.26,1284.26,1914.26,10214.26,2454.5067,1273.6708,-1180.8359
177f26c8-b1ec-4000-9b7e-6e79b136c894,1500,1503,2250,4520,1628.8333,1422.1724,-206.6609
f17fe9e7-5a00-470d-be71-a43313f4252a,500,2156.52,4666.38,2574.27,1649.5283,1703.5418,54.0135
928fbe8e-9e8f-4d96-a1b2-6fb90fb8c395,7470.17,9024.76,860.92,9924.43,4546.7133,719.3561,-3827.3572
3084ba51-c075-43af-8aa8-00b85e33522d,16275.84,28042.82,11338.18,15906.73,11927.2617,7400.0411,-4527.2206
d2480b9a-8a71-481d-8f61-00248c010b5a,,18787.99,21743.75,19920.77,10075.4183,13115.529,3040.1107
85174156-f1a6-40aa-af7f-47d35f3751e0,9450.95,7565.18,9503,33302.58,9970.285,10461.6907,491.4057
18b62531-6842-4d61-be74-bfffea9d06ae,1765.93,3970.16,1536.33,4465.23,1956.275,1384.6482,-571.6268
05abea55-700f-44f5-abee-f0d435ed740b,7184.2,19057.2,2920.25,17476.2,7772.975,8766.5464,993.5714
e2fe2a2a-37cb-4d44-bdbc-c518d589b1a7,11392,3,,141.51,1922.7517,8398.4892,6475.7375
1d306792-e88b-4b3a-8779-28dd9707050f,1707.41,1163.53,1157.17,3697.23,1287.5567,2185.3115,897.7548
2c0c47d1-f0be-42d2-9cf1-ce3518c6d3ee,1151.91,1094.83,929.12,1129.67,717.5883,715.1518,-2.4365
5773905f-ff80-4f39-84ba-98211f639c71,28787.25,22672,2817.24,14.1,9048.4317,11232.0671,2183.6354
9dfef9d7-f0c8-4446-bbf1-e4a8b7047aa3,13382.53,12598.83,18460.01,25468.53,11651.65,4829.3011,-6822.3489
320363c8-8a90-4e3e-8ba2-27874d39ed1e,8475.36,8266.28,19670.45,56141.43,15425.5867,7177.4057,-8248.181
d50d2afa-eb2e-4a7a-8352-142ebc46fe8f,40340,32200,45005.45,139834.35,42896.6333,14990.3561,-27906.2772
8ad2636c-cb31-42d1-b0fb-d4295244829a,833.28,500.88,299.03,54.4,281.265,1289.9849,1008.7199
c953587e-de3c-4d24-9f72-c2613c55914d,44.53,,,,7.4217,1305.2595,1297.8378
16d186c0-13fa-4e0d-bcce-dec86b187de1,141.78,517.29,616.02,1942.78,536.3117,1203.4501,667.1384
eee2034b-2720-467f-ad60-b452b08ab25a,90.33,,,7856,1324.3883,3153.1036,1828.7153
9ce8c496-d71c-4aa0-ad65-5bb6a4de7771,7000,8000,8000,97469.02,20078.17,4441.3635,-15636.8065
eef0772e-118f-4cb4-b1b5-5776243086b0,,,,9025.21,1504.2017,3890.3258,2386.1241
3519746e-258c-4bcf-8793-75d9a6bd3eca,5202.08,6507.12,6515.38,26609.15,7472.2883,4556.1095,-2916.1788
20804c0b-cf1a-4ee4-ac90-0335023222f0,5817.34,8331.36,8917.08,42709.36,10962.5233,2123.7705,-8838.7528
