BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
6ff8a6ef-5b92-4341-ba38-24c36d140bcf,6796.4,11854.36,218.96,114.7,3164.07,2687.868,-476.202
7ff96595-beaa-49ac-87a3-4183114f171a,9510.78,25176.08,3387.03,16433.04,9084.4883,1211.2301,-7873.2582
1374ddce-30b1-469b-83e0-5978c7c1fe7b,2480.85,1504.98,706.91,3495.62,1364.7267,3302.0188,1937.2921
9cf6782c-1860-4a7c-935d-72ac2bf5f761,6051.01,6125.5,8514.6,19298.29,6664.9,2111.0891,-4553.8109
78638c69-ee5a-44ad-8dbd-12c4e47d098a,8766.4,6541.99,6314.24,23073.46,7449.3483,3081.8207,-4367.5276
816645eb-be46-4f85-8019-14142074f683,21841.35,28882.74,21091.96,2666.78,12413.805,17659.5785,5245.7735
e1a359b0-cd6d-47d7-afeb-68d16b4f5214,6252.23,6663.47,8933.32,28015.4,8310.7367,2103.9421,-6206.7946
30acf49b-2a41-4d34-aa76-fcc2b727cc5f,743.97,1401.67,906.74,2542.48,932.4767,1105.3882,172.9115
1c38b59d-f4b2-4c1f-a1c4-aa47d332e41b,3174.71,1255.4,1420,5772.2,1937.0517,2589.1894,652.1377
9bd7fdca-6eec-4cca-a4b7-c14cd4f43932,11046.67,4591.62,,,2606.3817,4489.7628,1883.3811
9e22e217-0a4c-49b1-9e57-223582b49344,15427.37,22033.35,30025.65,48789.31,19379.28,15327.1113,-4052.1687
f250750c-df5f-4bad-8a46-a5d96a189e9b,5338.23,4723.38,4100.44,16220.4,5063.7417,3136.1616,-1927.5801
334eb6d6-f3a8-4f88-af2a-f66a11bb6ae3,31161.19,24368.46,19835.6,38568.86,18989.0183,13620.6664,-5368.3519
62302b8c-8731-43aa-b036-23df8d72ccaa,3696.07,4041.36,4148.75,14735.72,4436.9833,1969.4375,-2467.5458
1fe23916-1b19-455d-b816-3afd2aeee300,3738,1627.57,4244.78,5510.3,2520.1083,1450.6266,-1069.4817
1fbe7d67-50d2-4117-bbf1-1722cf535615,15639.06,6967.81,10351.08,54610.53,14594.7467,4041.6339,-10553.1128
c625e4c5-0517-445e-a6a4-dc668ca678c7,,,270,,45,826.6741,781.6741
b4aab6ab-623d-4653-b31a-d80bee115414,1000,1000,1000,3275.75,1045.9583,922.931,-123.0273
3f444311-10ae-4b7d-bf03-edbb9bd567f3,2761.98,3218.6,3884.86,12399.26,3710.7833,2334.6631,-1376.1202
e3aee228-46b1-40ad-9c81-b6d95153e7cd,,0,,,0,814.646,814.646
63d24a01-3ef8-4c21-b465-d7472e42f77e,1615.63,3587.28,14439.9,3724,3894.4683,2375.8881,-1518.5802
