BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
23a2e077-22f2-4bb1-9eec-fd996040c95b,622.48,792.53,1900.77,2926.79,1040.4283,810.4463,-229.982
694c07a4-ee52-40a6-b8c2-54a0ed570bec,162,,,,27,839.0524,812.0524
b9e9979d-c407-4ff4-8b12-da3cd56e47e6,6273.48,11285.04,6037.92,20086.51,7280.4917,4954.3406,-2326.1511
5afac476-327e-4494-9fcb-419d858153ce,3531.3,3833.33,4414.5,12928.99,4118.02,1775.0197,-2343.0003
b12928d8-be56-4a0d-9fcd-cf674a9294d3,9398.08,2663.35,4603.75,603.62,2878.1333,5283.9623,2405.829
72f2636f-a2f1-43f6-8439-cecec3ea1687,18500,12252.17,13000,53536.54,16214.785,10752.8451,-5461.9399
7a857879-f051-40b6-896d-0a3ac09f7a42,5942.05,2679.2,3945.05,18543.07,5184.895,2864.1846,-2320.7104
cee9d17d-41f9-4ccb-b3fd-a9918d2b8672,,,5115.86,3444.69,1426.7583,1313.1286,-113.6297
4ead3092-fdd8-40b0-be50-65f74ca76d23,,,,20581,3430.1667,771.6385,-2658.5282
51963dc6-db0a-4c8e-b10e-83e1dcb6ff79,808.1,393.56,,0.01,200.2783,1062.0387,861.7604
0ded8125-b140-4a3c-9d03-43d4be133b56,13881.81,431.31,,10009.65,4053.795,8115.7077,4061.9127
81b57e67-ad15-47ba-8531-74a54a42d1a0,6639.65,2951.3,20124,42141.24,11976.0317,4082.2473,-7893.7844
78d0e138-7d85-4825-8022-376b64d2039c,,,150,800,158.3333,460.9572,302.6239
06c4c14c-9a05-4961-97cf-c3ecb8cf3667,4350,5980,22518.5,9466.52,7052.5033,2296.1548,-4756.3485
ae824fff-a002-4a32-82f4-d82b0896ef0f,,37,1560.23,301.53,316.46,722.7058,406.2458
47aeb6c9-30ba-4955-b655-ae66362a67e5,1048.38,,144.75,3300,748.855,632.7476,-116.1074
7fb80cb5-30df-4f24-85ad-23c8960e7796,7021.03,6348.89,9118.82,24803,7881.9567,3833.8005,-4048.1562
f7bbdb20-059e-4408-824e-a820abdc3b35,,,1560.73,22982.99,4090.62,1113.1373,-2977.4827
fa4f6b65-6bbb-4554-9720-c4329e485562,10450,19000,8313.88,33213.56,11829.5733,4938.2939,-6891.2794
ec9ce67a-bf6f-4b0a-91de-c3f63214c9f1,6290,7067.5,12700.25,25387.5,8574.2083,3450.8883,-5123.32
3a530d18-cbb4-40ab-82d8-63f49e8f30cf,613.5,278.76,273.34,251.86,236.2433,964.1131,727.8698
d5c8fe65-63b6-440f-95cb-868a22b73d68,1178.15,299.25,1765.2,3764.72,1167.8867,1118.3045,-49.5822
3c4d982f-c289-4e43-aa6f-ecbbc41a5819,1087.13,3192.62,1520.44,5543.83,1890.67,2222.816,332.146
9f0d3e60-d890-45ba-8c25-1ce2f85ddf6a,5678.6,600,1564.81,16156.31,3999.9533,1307.2883,-2692.665
a4dfa366-b6f2-4c8e-893b-cf30954c97de,26.85,,,,4.475,585.6473,581.1723
d6f3c3eb-eb0c-4774-b280-373319286931,52,104.6,,,26.1,1930.277,1904.177
d8e17e19-d581-4199-93ed-14f30c4dea3e,1008.96,,1199.63,,368.0983,1341.0624,972.9641
ef8de75a-796e-4956-81b8-e3e16601f0f1,676.3,,899.67,8255.52,1638.5817,1831.8337,193.252
ab77511f-da77-4ed0-9a46-82739949a2ff,11704.84,,3588.75,986.65,2713.3733,1059.5177,-1653.8556
66a1d1dd-837d-4a4b-857a-bdb38b480407,3315,7351.36,6093.99,20398.18,6193.0883,1368.6302,-4824.4581
48c881d5-c1d0-4840-bf41-3fdaf78f67c6,2207.33,494,4837.23,1892.76,1571.8867,1601.1587,29.272
00ba7228-ba73-4200-86cf-4f38368eea35,835.76,790.78,713.78,1023.58,560.65,827.7462,267.0962
ef40f58a-aa43-42e8-97f4-4280e24dfe74,204.79,59.4,557.68,1357.19,363.1767,650.2003,287.0236
6177b86b-f1cc-4ff2-8b3f-94c2cb8db38f,8538.4,12607.01,6776.6,32532.98,10075.8317,6005.3996,-4070.4321
c1975806-f0cb-46da-9318-059b9832a392,24282.47,0,,,4047.0783,7257.4043,3210.326
27d624f3-e418-4e3a-963b-373aac432a07,1000,1042.8,1391.27,3828.78,1210.475,1041.005,-169.47
27495e9a-660b-4770-85f5-85de261a0912,423.34,,,448.97,145.385,2502.3821,2356.9971
0c58fde4-7642-4a79-b59a-14a03b44a4b7,2558.33,4570.13,1068.01,,1366.0783,3396.8883,2030.81
d28a4cc7-e4fe-485e-a1dc-ddad5822b431,30793.02,26248.41,41234.74,116861.69,35856.31,9810.1912,-26046.1188
423de0c1-41b2-4d77-8bfd-b0768dd9ee55,968.49,650,0.01,5459.36,1179.6433,850.1042,-329.5391
1fe1ab46-656a-4e97-a149-87542f1bb757,1080.65,4434.99,1575,16939.62,4005.0433,806.3141,-3198.7292
a8ffa89b-3156-48e1-8d3a-efa853c008bf,1936.95,761.45,1197.88,2328.31,1037.4317,1445.8477,408.416
61d7b5f0-c124-4a6b-bc40-e52616ba104e,1000,220,2930,2980,1188.3333,2447.5541,1259.2208
640a969b-30b3-48c2-9766-ecf3df6b12e8,1258.75,148,726.83,1590.57,620.6917,692.2093,71.5176
db1755a3-0064-47b5-ba41-67be3f120e5d,591.26,1279.1,736.96,2043.16,775.08,717.6953,-57.3847
