BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
9ce7530f-3812-4b7f-92df-503145e23ff0,,26.6,,,4.4333,671.5373,667.104
892a5c64-ad3c-4c63-a941-ddcca99dc69c,2348.8,1071.99,1180.89,3291.89,1315.595,1898.4725,582.8775
44aa0e53-9d39-43d4-92cd-2e86f50c1896,1345.91,1854.21,844,1136.24,863.3933,1128.3752,264.9819
d143fb4b-d4d8-4f5c-bd2a-3b6be370aa40,6545.84,22747.25,16318.52,32436.56,13008.0283,4331.3859,-8676.6424
a3ae0336-0610-412c-acff-817b6d518355,2066.04,2120.14,5726.5,8269.34,3030.3367,4531.8513,1501.5146
7679b6d3-257c-4afe-b4aa-a064a38ec4b4,6440.45,1430,312,25,1367.9083,1201.5085,-166.3998
bc8abe80-4582-4724-93c1-aa27144b987d,,,163.97,,27.3283,731.171,703.8427
51c09bd3-b78b-4b58-9871-53c5ec37f40a,12230.78,18202.93,16317.76,44586.26,15222.955,6667.2058,-8555.7492
9023e5f0-12d4-4e37-9ce9-7dac327e0d20,66.23,374.39,138.33,717.87,216.1367,742.6578,526.5211
e4b7555b-7d1e-402e-88bf-e7f8bc827851,5560.74,2458.12,227,18937.25,4530.5183,1219.0037,-3311.5146
60531f59-dee9-4b50-89fe-8da2c5f265b0,10122.64,4680.53,5606.5,16396.41,6134.3467,2599.6555,-3534.6912
3a68dc8d-9af8-488d-a6fc-cc7f268e66b1,3500,1200,2500,6900.63,2350.105,1431.811,-918.294
e56b7d5b-c065-4840-afd7-79d557c7afa7,33653.5,33405.98,43731.43,95840.39,34438.55,19219.6021,-15218.9479
19555315-2a35-4c46-af3a-ff271fac9301,6000,4300,5154.23,33550.4,8167.4383,9323.457,1156.0187
720d8295-5072-4e59-8176-93294a4193b3,5658.34,6216.5,9938.19,16704.12,6419.525,4579.8391,-1839.6859
1d306792-e88b-4b3a-8779-28dd9707050f,1750.9,983.77,4146.38,9373.71,2709.1267,2185.5816,-523.5451
371aaa7b-e557-440e-8e0e-423a831df009,12200,2305,2304,12404,4868.8333,5089.1976,220.3643
9d7b4a5a-45e9-4890-89ad-89a68ad066f8,6583.9,7823.42,10061.62,20100,7428.1567,3811.228,-3616.9287
bd156e3a-5774-48d0-acb8-39a100e67cc6,1815.76,2445.1,2110.54,4017.09,1731.415,1937.3654,205.9504
b30ae246-fcc4-470e-a74f-7657796b8a50,348.87,2815.16,2228.3,10758.85,2691.8633,1196.8325,-1495.0308
