BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
159ebbfe-4e85-4b0d-8bff-3b084c3e1b63,34.08,6,336.46,4161.55,756.3483,2841.0878,2084.7395
03c1f959-65b6-4d8d-a0f4-2c835e21b776,1252,1105.79,464.22,3803.5,1104.2517,1267.1054,162.8537
b5451285-edaf-46b8-9c63-76fbddf045fb,3.74,,,5.38,1.52,1783.057,1781.537
bc3518c0-3b4b-4396-818d-8f16922824fe,106.3,94.4,43.5,134.76,63.16,877.2601,814.1001
ebaa098d-99d1-4e31-b6c2-d52384e3e7b6,464.62,1230.43,1323.73,2749.24,961.3367,757.6952,-203.6415
0eb5ab3b-1439-4f37-afb6-85d6e874f2ba,5742.84,10787.31,8856.81,28324.18,8951.8567,5208.9667,-3742.89
4e1f8bdd-f8d7-4968-9bee-f0367110c90d,88.77,63.14,269.62,5183.74,934.2117,764.299,-169.9127
8064ffad-8fce-4129-99e5-19ff0243c286,13755.15,35775.56,43194.84,61939.16,25777.4517,5432.6414,-20344.8103
045ef569-7b50-49fc-a695-acf0ba9e1664,2175.61,2416.73,2053.38,12477.23,3187.1583,1034.9782,-2152.1801
57ce9175-b790-4498-84c9-206bb227ea5c,491.25,,921.62,1815.75,538.1033,1305.4542,767.3509
c9a534a5-8edd-4ecd-88ec-b48b7424ad4e,1490.4,,841.55,1928.25,710.0333,782.8173,72.784
5a51dea3-8f0c-48e3-a631-34bcc68a49c1,8165.47,1104.85,2103.4,246.11,1936.6383,1110.3229,-826.3154
c142c2f5-adc8-426b-bf14-255ef4296f1d,324.16,234.23,,48.91,101.2167,624.3024,523.0857
1f518a42-4e3d-4427-ab7c-dc63cd8412d9,32460.03,11317,18862.79,34775.29,16235.8517,9375.6875,-6860.1642
394f0b32-68da-47d1-be7a-098596549708,2274.48,3444.9,4309.18,14430.98,4076.59,2190.3352,-1886.2548
7654c2dd-cdd9-4a2e-9f38-51d343f3f02d,62797.15,,53472.85,130780.71,41175.1183,12030.8516,-29144.2667
