BUSINESS_ID,NEXT_1MONTH_REV,NEXT_2MONTH_REV,NEXT_3MONTH_REV,NEXT_FURTHEST_3MONTHS,AVG_ACTUAL_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
c11c15fa-8d3e-4092-8701-6baaca4b4bda,15045.59,23294.46,9091.25,41619.46,14841.7933,8576.1813,-6265.612
0adc07a2-2b47-4734-8ccc-029cfd6c8abe,20893.75,16278.05,14647.98,46257.89,16346.2783,5092.2171,-11254.0612
293b24f9-5850-495d-9c86-cdafdc6d72ef,47645,24500,14040,49908.98,22682.33,17297.078,-5385.252
1ad1e7fe-5f46-4619-b159-33c67e1807e1,3180.14,2531.98,850.41,0.1,1093.7717,2435.2699,1341.4982
050b4b7b-679e-4454-8a7e-77c74a700b0b,62830.53,26130,6786.48,99204.71,32491.9533,5189.2341,-27302.7192
bf03c54f-7447-4dfc-9a43-eb4fbde3cbf1,15913.94,7099.25,7793.02,25958.04,9460.7083,4386.8071,-5073.9012
10d57a49-254e-497e-bd0a-88904a87b649,6589.48,27.29,5,7194.48,2302.7083,2186.8578,-115.8505
12ce1f2d-913d-4b53-b26c-9309367fa405,1907.69,850.46,1236.09,3085.6,1179.9733,1751.4845,571.5112
cc17fff4-f487-454d-8989-f6d8935a3c85,639.04,1209.84,1664.66,2435.63,991.5283,873.7363,-117.792
bef1d2fe-678f-4bcc-9b49-a4a1f5e458ff,11390.02,15176.15,14061.7,45196.07,14303.99,3144.9253,-11159.0647
e57fe637-7cd8-4d51-b390-7f4c2cf786dc,4847.93,3321.6,3848.33,2202.88,2370.1233,1603.1926,-766.9307
8e7ff5ad-9c22-4613-b624-5007968c31b7,2407.78,1998.3,,330.69,789.4617,940.1179,150.6562
f032ea00-3ac0-4a44-8b33-99584cc15c18,18235.26,16796.91,17082.42,75407.19,21253.63,7613.2768,-13640.3532
726d6a2f-8fb0-48b5-a808-10c31aaefd5b,13925.59,8470.13,7215,17732.2,7890.4867,2959.2145,-4931.2722
f4d49e04-8364-41e3-b17e-90676b035e91,1000,,300,1482.53,463.755,1338.1289,874.3739
56462b16-8a2a-4d33-96d8-295c1f353516,323.51,378.08,627.39,1246.91,429.315,839.223,409.908
5d79c7a1-5163-46ae-8cec-6712bab9fca5,1006.22,1400,,1550,659.37,882.9991,223.6291
