BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
f06404c1-7c5f-42fc-b965-48e4e3eec74c,372.58,1344.83,562.68,1842.67,851.2404,839.2398,-12.0006
f860637e-9e0c-4f78-9ee0-f65d7b8699ab,0,79,,,469.7276,469.7276,0
81c96a75-bd72-45b3-824b-f8be784900f2,,,2400,3650,925.451,1185.766,260.315
e1c50556-6587-4b75-84b3-875103f222c2,1784.39,596.49,,5120.53,1163.1137,1347.5496,184.4359
3218892d-351b-40ec-a18e-1c95d12780e3,0,53,,260.9,485.3033,513.9633,28.66
3c6420bb-cea8-44ee-8c53-4317948c072b,943.3,595.15,1130.11,904.22,832.4328,878.4003,45.9675
6407ba98-f7da-4a3f-8d7c-50d56e8c5e8a,55280.62,39171.06,55191.43,80852.12,23787.2879,6660.6829,-17126.605
1bdabf68-1092-4921-8351-0e46f7d80725,7258.73,7,,15657.5,2670.8493,3123.3397,452.4904
8d8745f4-0ed4-4c72-91df-71e8ddf562e5,,10705,,,1695.968,1695.968,0
6dd04bf1-692b-4644-a904-cd81b3b0dc46,1250,,,4900,997.991,697.421,-300.57
4a5ed988-c6b8-427d-a848-98c1b66a4745,6648.5,5099.6,4849.6,6055.65,2897.0168,3048.1892,151.1724
8db1ecf8-b11c-423d-ad3f-1996414ca615,,1310,55,5000,972.482,932.401,-40.081
d3f83358-f1e6-4efc-a7c4-fb89b5908c26,64928.13,1348.19,147.35,388.5,10447.599,8105.3493,-2342.2497
f40b1215-9f76-472c-b6ef-48f59357a8ec,22746.75,13788,14171.85,,6692.2321,8464.7205,1772.4884
8da8fb3f-54b4-4acd-b0e7-931b01551946,6300,4424.84,2131.74,33200,4467.1681,4457.2037,-9.9644
cac48fda-72de-4b6b-99cf-ffae4d389652,1784.62,7558.26,,,1601.9549,1545.7279,-56.227
136032b3-d2f5-43ab-a9d2-33230517857f,1075.06,425.14,579.46,6604.25,1191.4997,1169.207,-22.2927
93c9c796-cf37-4267-9e9b-13b18c5c7227,3353.69,416.41,3714.12,22364.98,2923.9736,2620.5136,-303.46
ee395db5-ed47-49e1-a3a0-cea59a3e0cbe,691.25,728.83,,880.51,711.6508,668.0529,-43.5979
ff78c393-7dbc-4398-8902-026be463c984,5699.17,6968.88,4834.78,11081.14,3326.122,3757.7058,431.5838
0622a9bb-4651-4c83-b34e-cecc0ef43a29,7212.19,12104.46,17430.91,79806.13,10115.8601,9375.7948,-740.0653
aa466e9b-0059-40df-8395-ea34867c6d96,,,500,5499.69,894.8889,1113.9889,219.1
293fa834-7cb2-4633-b297-dda57d2eca78,1650.11,3679.69,3394.44,10717.43,2187.05,2156.7986,-30.2514
cac46fd1-075c-41b4-ace4-59727d27741f,4594.88,1347.5,,1362.47,1406.0283,1491.5718,85.5435
c1d90f58-ab4e-4a67-b4f8-810b6b813c13,33930.17,35566.56,42170.79,60163.37,17566.6791,17888.7853,322.1062
ed0f4876-cc7f-498c-ac49-829b79d7b14e,682.69,897.02,85,400,702.8158,690.0133,-12.8025
d6bf5f4c-5cf0-4d99-ba0d-5e724a5f4fa3,754.28,444.22,71949,120032.78,15316.3979,14782.8178,-533.5801
e08e2693-511d-4328-8ff6-bce029b7a103,2500,,,3500,1086.811,1086.811,0
a0d643ff-47e4-483e-b1a4-253a43bcc5f4,6664.28,6242.64,4371.29,17680.91,3818.174,1599.991,-2218.183
6ca1f52b-6e12-4ffd-a26d-456c7a55f8e2,,,1015,1088.3,624.779,624.779,0
e17e440f-c527-4ec6-b413-1fd8a6f40b23,,1377.28,350,1350,745.5591,704.2407,-41.3184
62df4727-1b12-45e5-8ae4-976d5268b463,7534.95,11119.25,9852.91,20807.26,5202.9583,4626.1627,-576.7956
30ec0af8-4550-4baf-9d3e-ea2261f8feee,,,,5000,816.611,816.611,0
31e028ea-6e7e-4366-b125-7d28b990e38e,5879.39,2121.39,5498.45,31561.77,4308.7971,4171.3141,-137.483
2fb65160-8f2b-4fa2-b511-55f4a6bab689,,110000,,200000,27394.611,20274.611,-7120
589064f3-c8a1-4dbe-9d39-dc511fa903d3,763.48,48.42,436.99,2804.68,818.3436,739.6239,-78.7197
898e5df7-f8da-442f-a691-97b84d37d9ed,,63312.6,417325.19,453769.83,75714.8682,75714.8682,0
04e4364d-7566-4b0a-86ec-f5162c7749fd,1549.19,2872.94,592.45,1620.8,1191.7623,1732.7214,540.9591
70ef0ce5-c48c-4f79-94e8-20fd82bccd72,4109.96,2867.35,1423.26,2914.95,1740.376,1507.9938,-232.3822
06b22ec8-a40e-4259-9cd7-744e4dfe58ff,10745.24,2399.25,767.57,179.68,2436.2103,2537.6294,101.4191
15078829-57d4-4dd9-8d58-d0adf4992b02,538.15,5972.6,1964.94,1241.51,1487.2034,1492.0248,4.8214
83299034-e52c-4a4e-b7a4-f1e05186baa0,14833,15082.28,15008,28359.66,7738.8135,8876.0431,1137.2296
