BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
3b26f82b-a358-4047-8d18-b04455712536,20514.53,16163.75,310.57,2600.29,5631.1622,8220.7318,2589.5696
3afa7299-9f96-4bec-8bcc-a41574721072,18948.74,17529.79,23840.12,61922.71,11785.862,11645.1373,-140.7247
9cc3980b-7e0f-4ff1-b46d-202662519a89,4008.14,4274.36,3609.61,10339.22,2602.7128,3142.4952,539.7824
d60e3b27-a1ea-4c69-a9ff-3a7ae8a08f50,5242.75,1112,,,1379.5425,2007.3664,627.8239
bc05b9be-3faf-479a-9512-1da8b2021dcb,32655.9,48322.64,30856.33,158136.39,24855.9949,29120.9311,4264.9362
e4b7555b-7d1e-402e-88bf-e7f8bc827851,3620,227,2458.12,10270.8,1973.9072,3189.0861,1215.1789
cd2ea840-29a4-41ed-a7be-03c4b9e5dbd4,5890.38,1729.71,308.05,6445.13,2033.6896,2153.9104,120.2208
388294a7-09d0-4bd1-8ece-c0dcaf5f1e05,1124.54,676.68,1113.02,3031.34,1019.1638,1301.6483,282.4845
b105596d-8af9-40be-8b5b-9ba2087946f6,1787.76,1685.14,1323.88,1265.32,1127.8205,1026.2159,-101.6046
8b3c850f-971c-46d4-83b1-189602e2a473,,,,185,473.783,468.443,-5.34
231bf3d5-e522-4169-9881-e5389a47f553,5691.14,,1191.58,851.54,1481.2255,1388.5813,-92.6442
dce425d1-4b91-4a5d-ba23-65f2489b40e3,1000,1249.06,379.48,175.82,800.4785,797.7065,-2.772
3634913f-d9d3-4822-b776-9f82b58a8084,5622.54,16465.06,6660.7,12377.32,4658.6469,4205.0586,-453.5883
586871c4-1577-41df-aeda-d9d8f80067f1,42784.7,23616.78,28200.53,95116.97,18818.5737,17668.4526,-1150.1211
94de0536-8562-4a3b-924f-2b8e61e5205b,37839.05,31260.69,45462.32,80842.5,19412.6915,18489.1711,-923.5204
92d180c5-ba07-4725-8969-8a7f5d46057b,1310.86,1975.12,2811.16,6783.18,1609.253,1421.9839,-187.2691
31503624-d3f9-45e8-8d31-a9188b4ad019,10520,10520,10520,30260,6313.955,6688.467,374.512
94026d90-7eae-487e-a8f0-85c24f39ef1c,4535.35,2639.77,3456.79,1948.09,1883.0851,1861.9922,-21.0929
da6b852e-6c2c-4885-8219-71689e21a07c,786.8,449.5,546.5,4362.77,988.4331,914.6112,-73.8219
d5a4b55c-c1a2-4ce0-9381-e8881f124dd5,3687.8,3300,3300.05,6955.6,2174.6142,2395.8454,221.2312
