BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
6ff8a6ef-5b92-4341-ba38-24c36d140bcf,6796.4,812.42,294.88,918.79,1669.862,2687.868,1018.006
7ff96595-beaa-49ac-87a3-4183114f171a,1313.62,,292.91,7573.23,1222.9334,1211.2301,-11.7033
1374ddce-30b1-469b-83e0-5978c7c1fe7b,1426.07,2001.39,4152.68,32720.31,3590.9477,3302.0188,-288.9289
9cf6782c-1860-4a7c-935d-72ac2bf5f761,4133.06,2816.98,2313,5922.27,2028.1518,2111.0891,82.9373
78638c69-ee5a-44ad-8dbd-12c4e47d098a,6697.58,3087.56,1792.68,17013.85,3191.3915,3081.8207,-109.5708
816645eb-be46-4f85-8019-14142074f683,34388.38,14469.33,13596.95,128964.32,17659.5785,17659.5785,0
e1a359b0-cd6d-47d7-afeb-68d16b4f5214,3095.67,3169.89,3363.53,8540.63,2188.5817,2103.9421,-84.6396
30acf49b-2a41-4d34-aa76-fcc2b727cc5f,187.03,1124.93,676.6,6089.11,1109.9583,1105.3882,-4.5701
1c38b59d-f4b2-4c1f-a1c4-aa47d332e41b,9065.03,2126,1873.71,9922.7,2939.469,2589.1894,-350.2796
9bd7fdca-6eec-4cca-a4b7-c14cd4f43932,9114.01,9052.01,3147.73,23012.72,4786.9275,4489.7628,-297.1647
9e22e217-0a4c-49b1-9e57-223582b49344,11857.19,48582.89,28693.62,74224.4,15590.3532,15327.1113,-263.2419
f250750c-df5f-4bad-8a46-a5d96a189e9b,1244.39,6024.26,5077.24,17592.56,3029.6512,3136.1616,106.5104
334eb6d6-f3a8-4f88-af2a-f66a11bb6ae3,25042.57,11409.62,16385.75,70670.5,11984.7834,13620.6664,1635.883
62302b8c-8731-43aa-b036-23df8d72ccaa,3076.72,3011.89,3564.6,7308.23,2096.9153,1969.4375,-127.4778
1fe23916-1b19-455d-b816-3afd2aeee300,1389.82,1119.77,1447.21,4665,1255.157,1450.6266,195.4696
1fbe7d67-50d2-4117-bbf1-1722cf535615,3150,2125,5950.85,32883.53,4030.3659,4041.6339,11.268
c625e4c5-0517-445e-a6a4-dc668ca678c7,2350,,43.76,1564.76,930.139,826.6741,-103.4649
b4aab6ab-623d-4653-b31a-d80bee115414,1750,1250,,850,929.281,922.931,-6.35
3f444311-10ae-4b7d-bf03-edbb9bd567f3,2447.2,4226.75,3515.62,11195.06,2414.7379,2334.6631,-80.0748
e3aee228-46b1-40ad-9c81-b6d95153e7cd,140.19,526.83,1250.78,2321.37,814.646,814.646,0
63d24a01-3ef8-4c21-b465-d7472e42f77e,4515.45,7544.9,2192.75,3356.38,2438.4574,2375.8881,-62.5693
05f2d78c-e329-4173-91e8-9ff59abd925e,7898.99,3152.85,508.56,11836.79,2901.8281,2890.4835,-11.3446
254d9eb5-8af4-43c9-b1c0-7210c26f46f0,,999.56,7760,7480,1771.2402,1098.4854,-672.7548
53654d3c-8761-4ffe-bd12-321996957227,9150,1150,4111.14,28545.88,4356.699,7895.7816,3539.0826
aae31064-7a12-4626-be74-5b269514ec54,,,3091.96,16.66,725.8506,831.7408,105.8902
10e30f8c-4f36-4040-a1ed-e08a33a4e36b,,734.52,3820.28,5265.79,1246.5508,1228.4135,-18.1373
9d42d1cd-c025-4c1b-8f82-bca435b31952,5600,6250.01,7500,24087,4381.8366,5378.248,996.4114
45f8db2d-d0a9-481f-b87b-eaaf542e5507,3580.74,4117.02,5384.16,13903.84,2925.4514,3358.0695,432.6181
86cbc97f-7fbc-4871-84ac-8ee7bffcd0dd,12327.15,4540.95,1465.07,781.83,3024.3541,3431.4528,407.0987
0ee32e84-db47-4c48-949f-e5dd016d73eb,6390.06,1832.49,757.38,3558.82,1953.7696,2196.5476,242.778
343cad7b-dc5c-44ce-a019-cf30ca013bf5,79747.21,16780.31,18811.74,105222.53,23521.3048,21377.5463,-2143.7585
c2232d0d-aa83-4025-a731-753e90986b60,,1200,1250,4900,1054.721,1054.721,0
f7976ec3-8984-4bb3-9fd3-bf53a13aba89,8324.76,13581.55,22250.78,43295.01,8266.117,9376.5765,1110.4595
f4264a76-9b05-4277-a201-d984a3344f61,16216.92,5184.14,3337.5,16713.87,4979.4223,5443.7843,464.362
e20235f0-1988-4cfb-a5f5-e7cba14b7581,2737.36,4740,12081,9215.75,3108.2797,3102.4749,-5.8048
4cadced4-c9e9-411b-a465-b60b75f105d4,493,820.75,3962.15,3825.81,1240.4352,1237.7544,-2.6808
b3a8c63d-61bd-458d-8bca-332cde3e08ac,28833.8,27644.28,27763.5,83842.27,16339.4705,16178.6204,-160.8501
ea8eed71-3343-4b19-805c-108335e5f50c,2427.2,2448.47,1601.55,11213.65,2044.3704,1873.0915,-171.2789
571bbd4f-e44e-4c97-8f01-5d4b373240fc,3870.4,3959.4,3744.15,8518.2,2427.4283,2420.4268,-7.0015
974ec658-e97f-4d05-a4a7-51e653ed6f80,505,10731.5,335,1655,1921.6251,1771.9201,-149.705
4c4e5cdf-38ad-43bd-881a-0b2a82ce98e5,5.98,1468.25,757.77,540.45,734.1424,743.5424,9.4
94026d90-7eae-487e-a8f0-85c24f39ef1c,3044,3487.96,3495.54,12367.06,2501.2106,2232.1646,-269.046
c9860de7-9d2e-4fd9-96ac-7c78a8aa0e51,45745.48,86398.85,55823.88,153849.37,33050.8912,33554.4894,503.5982
