BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
d9720def-d6f0-42ff-9aeb-43c808d4df70,1437.34,1731.55,1789.84,3475.63,1277.4999,1315.3153,37.8154
f62f1772-063a-49e2-aab3-1513dde1e407,13758.18,17363.12,34391.25,11155.49,8270.3322,7092.8367,-1177.4955
6fddfe80-7408-4256-a8d1-4acb3f711791,3989.32,3604.81,2449.94,14999.37,2755.3755,2796.0711,40.6956
e708992a-1fda-40b9-bd1e-4053e6a9d537,7675.58,1827.5,148.84,646.4,1887.7166,1901.5247,13.8081
5bcb2bc1-f86e-425f-8c3f-f108d2382de8,4208.14,4777.47,5845.22,37242.23,4797.3471,4524.1245,-273.2226
b6a4b779-5baf-44c5-8828-22e85b71199c,9204,23030,2941,53655.99,8577.7041,7959.8457,-617.8584
0f740a3f-ddf3-4ca4-ba65-f731baa33b38,1344.14,7096.37,7787.58,10669.55,2906.9597,3780.8171,873.8574
e5e6ffe6-a57b-4dc8-b37f-39466ae62f85,53203.7,61121.94,100304.64,188341.31,37513.1184,52217.5784,14704.46
a78513a9-9c1b-4446-aee6-b3a32a03f4fd,1581.36,2090,5419.47,11640.26,2231.8753,2130.6622,-101.2131
c0fb9c57-2ae1-4919-a94a-601eff3cb809,4788.57,15004.46,300,10262.1,3670.5236,3780.5185,109.9949
a24da36c-3a60-436c-ac8b-772ff67e516e,10677,7628.02,9478.46,25226.14,5556.5378,5382.0354,-174.5024
b07cc4ad-bcb7-48bf-9ad4-c4a700582ebb,84771.44,93623.53,68326.87,87211.74,36092.8901,43767.4032,7674.5131
35af9592-1351-4298-9445-dca2cf39e60e,17043.84,11898.68,4981.46,41749.52,7801.9123,7831.7502,29.8379
b3f45fc6-c98f-4729-8ad6-fbebf9d81325,1752.83,2556.33,1193.56,5103.49,1485.2368,1349.564,-135.6728
e954eada-bcd5-4878-a509-9dc3771c46ea,2677.02,2254.97,1893.84,7205.71,1799.3096,1988.9848,189.6752
