BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
9ce7530f-3812-4b7f-92df-503145e23ff0,,,1262.9,1507.01,675.7618,671.5373,-4.2245
892a5c64-ad3c-4c63-a941-ddcca99dc69c,2754.55,1372.4,4120,5312.51,1764.4708,1898.4725,134.0017
44aa0e53-9d39-43d4-92cd-2e86f50c1896,1633.92,1150.52,1100.54,2793.76,1132.678,1128.3752,-4.3028
d143fb4b-d4d8-4f5c-bd2a-3b6be370aa40,5307.68,5331.45,9299.52,24048.43,4382.6857,4331.3859,-51.2998
a3ae0336-0610-412c-acff-817b6d518355,2477.72,25268.42,5894.17,7685.67,4800.8087,4531.8513,-268.9574
7679b6d3-257c-4afe-b4aa-a064a38ec4b4,80,,,1257.1,562.1805,1201.5085,639.328
bc8abe80-4582-4724-93c1-aa27144b987d,,,2000,2800,830.771,731.171,-99.6
51c09bd3-b78b-4b58-9871-53c5ec37f40a,12261.35,7613.5,14681.86,31112.57,6657.2663,6667.2058,9.9395
9023e5f0-12d4-4e37-9ce9-7dac327e0d20,616.44,486.62,807.46,803.42,735.8867,742.6578,6.7711
e4b7555b-7d1e-402e-88bf-e7f8bc827851,3921.01,1776.72,761.11,1939.38,1460.0154,1219.0037,-241.0117
60531f59-dee9-4b50-89fe-8da2c5f265b0,3457.64,3993.04,3304.51,12856.72,2640.4235,2599.6555,-40.768
3a68dc8d-9af8-488d-a6fc-cc7f268e66b1,,2000,2000,12000,1716.611,1431.811,-284.8
e56b7d5b-c065-4840-afd7-79d557c7afa7,27982.41,37746.81,16932.1,95874.14,17308.5804,19219.6021,1911.0217
19555315-2a35-4c46-af3a-ff271fac9301,,13000,138.42,91850.12,8512.3606,9323.457,811.0964
720d8295-5072-4e59-8176-93294a4193b3,2186.06,4559.36,18476.9,28539.67,4926.3708,4579.8391,-346.5317
1d306792-e88b-4b3a-8779-28dd9707050f,3324.26,2766.67,2672.87,10933.37,2287.9022,2185.5816,-102.3206
371aaa7b-e557-440e-8e0e-423a831df009,11509.91,9761.82,23437.17,11161.52,6119.054,5089.1976,-1029.8564
9d7b4a5a-45e9-4890-89ad-89a68ad066f8,6729,5596.7,6355.32,19074.7,4022.0663,3811.228,-210.8383
bd156e3a-5774-48d0-acb8-39a100e67cc6,2268.22,3293.27,4795.25,4879.9,1939.6652,1937.3654,-2.2998
b30ae246-fcc4-470e-a74f-7657796b8a50,398.3,746.64,1921.05,7170.35,1281.4235,1196.8325,-84.591
e8512044-304a-4303-b272-154f94a1ed54,16907.2,0.2,,1000,3081.4398,3684.5983,603.1585
91631b9d-61d0-4ab5-807f-6c56a235be0c,7007.41,10220,6840,22593,4889.474,5484.7223,595.2483
3ed4b982-a06d-4c7e-b5e1-20e54726c3b2,2055,1220.31,13009,4700,2356.9374,1941.8133,-415.1241
4de48ab8-af9a-405e-8798-2cecb8898570,2028.96,1155.6,2005.66,1659.04,1189.3414,1498.6129,309.2715
d50d2afa-eb2e-4a7a-8352-142ebc46fe8f,42240.85,,,,6830.5312,8747.8785,1917.3473
8adcdc28-5fac-456e-a524-c009759403b9,88753.69,155799.74,490010.96,692831.24,123000.4777,112737.2798,-10263.1979
d0624b4d-f5b3-47ef-877b-6a97b15148d8,0,0,0,9150.76,1112.1451,904.5473,-207.5978
971d6cb8-e01f-4267-b85c-72c7fa9410bb,4.8,4.52,,27.32,463.8016,462.6189,-1.1827
763d84c7-dc5c-45ed-873f-5206231aec57,2500,6000,9396.11,31359.59,4565.2416,18528.7613,13963.5197
c9a1c11c-6dc6-4c81-94cd-280674089c0b,179700.2,195268.02,119545.9,521828.86,97456.7654,80658.8658,-16797.8996
c7f0de30-90a0-48e3-b1e9-d94e692f15f6,6250,13174.06,,,2923.3975,2728.1707,-195.2268
b44ef03d-99fe-4e30-a35f-6e4995b4b7a7,6193.25,2565.17,6480.04,50341.72,5828.2996,3774.6714,-2053.6282
57e127b3-b13a-44a7-86c6-f71db41ccd9e,3287.34,,8167.33,26496.76,3540.4012,4491.6734,951.2722
4e55a6ea-e7de-4a98-a024-73b2b3284718,130800,48950,97896.58,200511.91,48470.8969,53261.8534,4790.9565
ce433e72-8cb4-41bf-8abb-f71f7fcb2103,2096.11,5452.97,8892.95,17180.38,3388.6781,3725.6716,336.9935
050b4b7b-679e-4454-8a7e-77c74a700b0b,6634.01,9069.1,732.75,1865.96,2703.027,2722.7432,19.7162
a370260e-6bda-4563-b5c6-7c94724879a8,975,2075,875,4653.16,1253.126,1236.5531,-16.5729
