BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
159ebbfe-4e85-4b0d-8bff-3b084c3e1b63,10275.75,10260.8,5,143.3,3204.9204,2841.0878,-363.8326
03c1f959-65b6-4d8d-a0f4-2c835e21b776,4033.03,2917.36,361.78,2196.58,1592.7478,1267.1054,-325.6424
b5451285-edaf-46b8-9c63-76fbddf045fb,3429.61,3482.42,906.79,456.96,1489.6429,1783.057,293.4141
bc3518c0-3b4b-4396-818d-8f16922824fe,3218.7,91.9,90.7,224.9,980.3549,877.2601,-103.0948
ebaa098d-99d1-4e31-b6c2-d52384e3e7b6,393,484.47,630.6,3245.37,860.7068,757.6952,-103.0116
0eb5ab3b-1439-4f37-afb6-85d6e874f2ba,7588.81,10802.34,4932.73,23579.75,4951.7269,5208.9667,257.2398
4e1f8bdd-f8d7-4968-9bee-f0367110c90d,1261.1,1659.85,,9.48,843.0065,764.299,-78.7075
8064ffad-8fce-4129-99e5-19ff0243c286,8000,8000,8000,28832.95,5326.317,5432.6414,106.3244
045ef569-7b50-49fc-a695-acf0ba9e1664,4688.6,,,3655.16,1427.8993,1034.9782,-392.9211
57ce9175-b790-4498-84c9-206bb227ea5c,1989.66,910,693.64,2563,1107.3882,1305.4542,198.066
c9a534a5-8edd-4ecd-88ec-b48b7424ad4e,,350,,1660.3,619.2144,782.8173,163.6029
5a51dea3-8f0c-48e3-a631-34bcc68a49c1,1623.34,1755.14,1567.74,1855.85,1173.9753,1110.3229,-63.6524
bfd4f340-5261-460a-a949-dc8f9c7a7574,,22.6,2314.5,,660.8773,627.3334,-33.5439
c142c2f5-adc8-426b-bf14-255ef4296f1d,8.9,86.12,773.18,2474.87,714.1317,624.3024,-89.8293
1f518a42-4e3d-4427-ab7c-dc63cd8412d9,18473,17651.32,24735.63,9245.2,8053.9828,9375.6875,1321.7047
394f0b32-68da-47d1-be7a-098596549708,3413.48,2909.48,3425.5,8823.59,2231.8951,2190.3352,-41.5599
7654c2dd-cdd9-4a2e-9f38-51d343f3f02d,,38802.17,53332.76,238168.58,26450.602,12030.8516,-14419.7504
2e9c41c8-69a5-4bee-8565-85f63d588910,160.6,12067.79,801.67,11277.69,2748.8866,2098.2143,-650.6723
77ca48d7-83b7-4603-baf0-65fa88a80186,7.5,2923,,,799.0562,711.1007,-87.9555
8f2b90f9-1c81-47a7-9de0-99dddffdc90b,4009.99,85.88,500.31,,1117.9545,1117.1201,-0.8344
b7a38624-bf25-4e39-8e34-1d9c193164d2,17459.02,30474.59,33167.84,117371.46,17799.5804,18332.0286,532.4482
267dcce3-fa38-4aa5-a270-0127ea988336,3763.85,3384.31,1587.66,1505.98,1661.5609,1524.0082,-137.5527
7e5e17c9-5b0f-446e-a1b8-71fb579fc742,5240.08,294.12,40.82,432.27,1319.0202,1157.7432,-161.277
6a7a7345-c90f-40fd-8b95-4f47917948d5,175.66,3,44.21,4570.92,816.6718,689.9733,-126.6985
351a0772-bb3f-4268-9ab5-9ce53cb068b2,162.63,201.26,170.13,589.88,564.8896,571.6529,6.7633
2896a7cd-dbd2-481c-91a4-8c67150a143a,76.94,121.47,561.65,85.01,540.2488,655.1754,114.9266
95372cdb-8b3c-4b2e-ae2a-5a71b547fba6,1500,12396.62,1491.37,1054.6,2319.8315,2622.0519,302.2204
db84e409-0124-4a32-9400-989edd28106f,663.91,100,400,1134,687.1694,685.147,-2.0224
0c9e8fbd-bd50-4920-b10a-53217a7b8c41,5828,10068.28,3,5015.44,2858.7084,3323.3636,464.6552
8c1b7011-e5d4-43e3-9b2f-b06bbed1a4a4,48.62,200,,7506.71,1025.5006,1027.4195,1.9189
410e5d90-e803-411a-b334-2104d49d81f8,3891.7,2916.23,3246.99,1140.26,1742.4918,1847.3841,104.8923
7a375729-5874-4503-81ba-c05938b958dc,1064.17,57.66,,1260.11,717.4616,874.4985,157.0369
d81e3981-70e0-4594-b6df-755ac5a63a32,2624.63,2597.24,551.42,2440.41,1376.9752,1761.8291,384.8539
bfc711a8-8798-467a-abad-eeaa5b65a604,,1205.57,1318.32,64.23,716.8915,662.0397,-54.8518
29c55024-a458-4dc4-8333-3cb41ab099d3,46952.17,102585.69,54232.21,51410.92,27671.2751,28837.4629,1166.1878
141aabba-bc28-47bc-b4fb-00b41c4e400e,,8083.15,,118.74,1401.8608,1401.8608,0
4df9d71d-a3c1-4116-9679-aa9c5fa50e6c,257.48,10026.35,184.24,1782.21,1799.1072,1848.9371,49.8299
2eeff0c0-2812-4ed5-bcdb-5c76a57b6dd6,,1935,345,571,754.0282,727.0282,-27
54b97591-84bf-4c68-bc70-60eb074bddd9,,7.75,,1257.74,551.0564,550.9139,-0.1425
62c05792-8935-439c-b1ba-a60f9ff28362,412,11435.32,8391.84,241.12,2576.2074,3620.1965,1043.9891
41842951-0402-4a6a-9e46-ac8eab75b2f7,,8.36,2136.1,1002.03,715.3432,679.7432,-35.6
9bba2fb7-687d-4e78-825d-a0cc0a621d64,1259.79,1416.51,36.53,214.91,832.4738,769.983,-62.4908
9a4b3115-0966-4320-951a-19ccf060254a,1556.99,10521.5,1129.01,34940.13,4493.7409,4267.3094,-226.4315
c929115e-14a2-4f47-9664-4d72912ba170,8871.92,8834.33,10493.09,17488.78,4959.2892,5654.592,695.3028
99deb263-c602-403c-9e14-f1a9e417c4b3,308.7,2608.54,7666.09,12586.21,2359.0107,2093.9644,-265.0463
97e7fe9f-9ec9-4cb4-8278-ec4b08990a33,503.3,387.71,591.17,1013.38,703.8889,730.4275,26.5386
a944b770-93d5-4542-bcbb-2c13897824aa,2997.38,,1160.94,300,1033.1202,927.0129,-106.1073
33ab2c78-3306-4f98-a46e-e5ea967af1fd,1550,,200,4760.05,1050.3466,1398.6946,348.348
57b8c558-bc9c-475a-ae5b-0d17cf0df258,2718.85,972.22,11593.16,33.82,1975.2716,2225.5506,250.279
0aa00cfc-1115-4b11-9853-fa32482e4d35,480,424.54,1062.21,877.45,735.1741,956.43,221.2559
7d17f809-5c79-4841-a8fb-04b038e3821e,628.7,3549.51,1117.26,1718.4,1182.7965,1206.4668,23.6703
d4aa036a-83ca-478e-bac6-8af3dfdbdda0,645.55,1747.45,1740.95,2382.8,1077.9482,1042.343,-35.6052
3519e586-b242-4faa-85bf-9b79dc312a6d,,532.46,,1701.82,643.2265,788.8121,145.5856
fd6cc501-e74d-4a6a-a4a0-95c0518a218e,1021.63,1337.67,517.39,1320.03,907.2112,910.1896,2.9784
d48960bf-16b9-44a0-9473-4e566f605b12,170.59,1282.72,98.05,1823.28,772.5529,751.5681,-20.9848
c0ab672d-aaeb-474b-8e3e-4d50b95c6000,,910,250,2629.7,774.2096,774.2096,0
f7d36e63-5cc7-4d29-bce2-09918bda9135,7500,12500,8000,4000,4002.111,4756.111,754
2b2cf63c-24bf-4d0c-b7b8-6a30dde9856f,624.87,300,1805.87,5329.28,1123.1274,1182.4273,59.2999
aad66ac1-85a7-4835-be59-5a4856cae816,1709.84,10005.62,821.09,2938.93,2152.4763,2071.9013,-80.575
2b4eb70f-0a37-4aa1-bd7c-19110baf7840,599.47,1066.51,757.31,,738.7606,738.7606,0
e8219e34-6bb0-4e4e-849e-2783404760bf,2352.48,300,,700,899.825,899.825,0
32947d50-65c5-448a-9bf1-867ab1a3e52f,817.58,459.43,1175.12,1789.5,864.6879,864.6879,0
c7d98755-8f13-4382-a780-eefea196da67,1027.74,600,2500,3135.32,1121.569,1121.569,0
850873b2-878b-40ba-98a9-1cef4a01007c,1705.51,3118.05,2343.54,2800.47,1477.1567,1401.5023,-75.6544
9723da04-38cd-4bcd-8115-e06fd19ce225,1339.59,1468.49,458.49,8.61,871.853,977.5127,105.6597
