BUSINESS_ID,PAST_1MONTH_REV,PAST_2MONTH_REV,PAST_3MONTH_REV,PAST_FURTHEST_3MONTHS,AVG_PREDICTED_REVENUE,REV_30,DIFF_ACTUAL_PREDICT
c11c15fa-8d3e-4092-8701-6baaca4b4bda,10268.09,4130.59,2983.88,55844.02,6716.6266,8576.1813,1859.5547
0adc07a2-2b47-4734-8ccc-029cfd6c8abe,2947.56,13634.14,12920.4,2803.53,3781.4963,5092.2171,1310.7208
293b24f9-5850-495d-9c86-cdafdc6d72ef,48132.5,6100,21635,55733.08,14238.7563,17297.078,3058.3217
1ad1e7fe-5f46-4619-b159-33c67e1807e1,3472.97,6520.41,2771.32,6619.94,2444.8006,2435.2699,-9.5307
050b4b7b-679e-4454-8a7e-77c74a700b0b,14943.64,11251.75,6516.97,14645.38,5611.8642,5189.2341,-422.6301
bf03c54f-7447-4dfc-9a43-eb4fbde3cbf1,7296.73,7030,7030,18995.33,4325.0494,4386.8071,61.7577
10d57a49-254e-497e-bd0a-88904a87b649,11267.15,152.39,5571.57,,2653.0951,2186.8578,-466.2373
12ce1f2d-913d-4b53-b26c-9309367fa405,2139.59,3046.36,2853.92,2477.69,1554.9474,1751.4845,196.5371
cc17fff4-f487-454d-8989-f6d8935a3c85,781.56,255.26,409.01,997.5,713.8787,873.7363,159.8576
bef1d2fe-678f-4bcc-9b49-a4a1f5e458ff,5994.43,2105.24,5630.91,9875.5,2791.5311,3144.9253,353.3942
e57fe637-7cd8-4d51-b390-7f4c2cf786dc,2943.79,,,,904.5345,1603.1926,698.6581
8e7ff5ad-9c22-4613-b624-5007968c31b7,2921.13,1650.13,,693.13,1140.8933,940.1179,-200.7754
f032ea00-3ac0-4a44-8b33-99584cc15c18,18089.49,9513.72,8860.26,34196.15,7477.8215,7613.2768,135.4553
726d6a2f-8fb0-48b5-a808-10c31aaefd5b,2230.83,,,,797.0202,2959.2145,2162.1943
f4d49e04-8364-41e3-b17e-90676b035e91,2247.6,2199.38,296.71,5767.4,1489.3354,1338.1289,-151.2065
56462b16-8a2a-4d33-96d8-295c1f353516,463.23,87.61,267.52,3727.23,828.8013,839.223,10.4217
5d79c7a1-5163-46ae-8cec-6712bab9fca5,700.78,697.27,708.75,2830.92,908.8423,882.9991,-25.8432
02d48230-16ef-41b7-bc25-21183ef1c4d0,,1735,,2179.43,816.0054,865.365,49.3596
4eed7b88-b0e2-47a8-afca-0b58a16a0b6b,6241.04,7303.07,5886.2,22448.82,4345.5716,4385.8523,40.2807
c754ba67-3fac-41ad-b468-90500445e279,836.71,,,1041.74,660.9588,686.0285,25.0697
9ab96b4f-f8ec-4e28-90ee-875149c07803,1277.96,910.4,1349.01,4580.34,1199.7132,1106.5541,-93.1591
81ac1ac8-a53d-45c0-84f4-082a0f6ed6c7,3600.66,3662.37,5480.74,9918.41,2600.474,2571.5687,-28.9053
5e7b40b0-fc1c-4d31-b03c-accc0163e7e1,2429.19,2378.56,3021.19,7966.88,1926.6702,1927.4537,0.7835
65fd965a-b7ca-4db1-9f85-223a9a05509a,9750.96,4087.05,15081.25,24147.54,5409.9449,4936.8933,-473.0516
c065e2b3-d0be-4b97-96bd-ba756af2e471,850.75,1007.08,294.43,155,741.3015,704.0913,-37.2102
ec844a57-4932-4b7a-82ec-475492c03437,42876.24,36259.16,25418.61,137797.91,23092.6155,22409.6692,-682.9463
85e0c624-6be7-4353-80e9-f3bd54a69700,1414.63,,57060,63878.81,10095.0325,10135.4346,40.4021
b6f1592a-25db-4295-8820-8d7ef53a5a9b,29065.45,21782.5,15717.09,25954.95,10547.6133,11029.2199,481.6066
84255f95-cf1a-4a24-a8a0-db0274e28ce7,452.8,688.33,60.76,1857.6,745.7765,721.5534,-24.2231
